S.No,Train Number,Train Name,Arrival Time
1,16002,Palani MAS Express,21:43
2,16001,Palani Express,02.:53
3,22652,Palani Express,21:28
4,17236,Bangalore Express,2:44
5,6572,Bangalore Express,16:28
6,6752,Ten Chennai Express,0:23
7,6746,Ten MS Premium,0:14
8,6308,Kacheguda Express,17:48
9,7315,Velankanni Express,11:23
10,6307,KCG NCJ Express,9:58
11,7316,VLNK VSG Express,1:48
12,6348,Tirchy Express,10:28
13,6348,Chennai Express,0:14
14,22651,Palani Express,3:44
15,6597,Yesvantpur Express,20:43
16,16353,KCG NCJ Express,10:39
17,17235,Nagarcoil Express,23:14
18,6599,Yesvantpur Express,1:23
19,16354,Kacheguda Express,17:43
