S.No,Train Name,Train No,Train Timings (Arraival to Tiruvarur),Train Timings (Departure from Tiruvarur)
1,Velanganni to Vaskodagama (Wednesday only),17316 E,12.40 AM,12.45 AM
2,Karaikkal to Bangalore (Daily),56513 P,4.45 AM,4.55 AM
3,Egmore to Karaikkal (Daily),16175 E,6.05 AM,6.15 AM
4,"Mannargudi to Thirupathi (Wednesday ,Friday, Sunday)",17408 E,6.20 AM,6.25 AM
5,Thanjavur to Karaikkal (Daily),76812 P,7.35 AM,7.45 AM
6,Mayiladuthurai to Tiruvarur (Daily),56871 P,7.25 AM,NA
7,Trichy to Karaikkal (Daily),56714 P,9.15 AM,9.25 AM
8,Ernakulam to Karaikkal (Daily),16188 E,9.35 AM,9.40 AM
9,Vaskodagama to Velanganni (Thursday),17315 E,10.20 AM,10.25 AM
10,Mannargudi to Bagathkikothi (Monday),16864 E,12.20 PM,12.22 PM
11,Trichy to Karaikkal (Daily),76854 P,12.45 PM,12.55 PM
12,Karaikkal to Logamanyathilak (Daily),11018 E,3.00 PM,3.10 PM
13,Karaikkal to Trichy (Monday),56711 P,12.45 PM,12.55 PM
14,Karaikkal to Trichy,76853 P,4.05 PM,4.15 PM
15,Logamanyathilak to Karaikkal (Saturday),16863 E,4.48 PM,4.50 PM
16,Bagathkikothi to Mannargudi (Sunday),11017 E,4.55 PM,5.05 PM
17,Karaikkal to Ernakulam,16187 E,5.20 PM,5.30 PM
18,Mayiladuthurai to Mannargudi,56033 P,5.30 PM,5.40 PM
19,Mayiladuthurai to Tiruvarur,56879 P,7.10 PM,7.20 PM
20,Karaikkal to Thanjavur,76815 P,7.05 PM,7.15 PM
21,Trichy to Karaikkal,76852 P,7.20 PM,7.25 PM
22,Bangalore to Karaikkal,56514 P,8.20 PM,8.25 PM
23,Thirupathi to Mannargudi,17407 E,9.05 PM,9.15 PM
24,Karaikkal to Chennai,16176 E,10.15 PM,10.20 PM
25,Tiruvarur to Mayiladuthurai,56880 P,7.25 PM,7.35 PM
