S. No,Train No,Name of the Train,Origin,Destination,Arrival ,Departure
1,16713,Rameswaram Express,Chennai Egmore,Rameswaram,17:50,04:45
2,22622,Kanyakumari - Rameswaram Express,Kanyakumari,Rameswaram,03:59,04:00
3,16618,Coimbatore - Rameswaram Express,Coimbatore Junction,Rameswaram,04:28,04:30
4,16779,Tirupati - Madurai Express,Tirupati,Rameswaram,06:34,06:35
5,56724,Rameswaram - Madurai Passenger,Rameswaram,Madurai Junction,06:49,06:50
6,56723,Madurai - Rameswaram Passenger,Madurai Junction,Rameswaram,08:46,08:47
7,18495,Bhubanewwar Express,Rameswaram,Bhubaneshwar,08:59,09:00
8,16701,Rameswaram Express,Chennai Egmore,Rameswaram,09:38,09:40
9,16101,Chennai - Rameswaram Express,Chennai Egmore,Rameswaram,09:39,09:40
10,56829,Tiruchirappalli - Rameswaram Passenger,Tiruchirapalli,Rameswaram,10:56,11:00
11,56722,Rameswaram - Madurai Passenger,Rameswaram,Madurai Junction,13:01,13:02
12,56721,Madurai - Rameswaram Passenger,Madurai Junction,Rameswaram,14:20,14:21
13,56830,Rameswaram - Tiruchirappalli Passenger,Rameswaram,Tiruchirapalli,15:18,15:20
14,16780,Madurai - Tirupati Express,Rameswaram,Tirupati,16:58,17:00
15,16734,Rameswaram Express,Okha,Rameswaram,17:46,17:47
16,16702,Chennai Express,Rameswaram,Chennai Egmore,17:58,18:00
17,16102,Rameswaram - Chennai Express,Rameswaram,Chennai Egmore,17:59,18:00
18,56726,Rameswaram - Madurai Passenger,Rameswaram,Madurai Junction,19:16,19:17
19,16617,Rameswaram - Coimbatore Express,Rameswaram,Coimbatore Junction,19:58,20:00
20,56725,Madurai - Rameswaram Passenger,Madurai Junction,Rameswaram,20:09,20:10
21,16714,Rameswaram Chennai Express,Rameswaram,Chennai Egmore,21:04,21:05
22,18496,Bhubaneshwar - Rameswaram Express,Bhubaneshwar,Rameswaram,21:30,21:32
23,22621,Rameswaram - Kanyakumari Express,Rameswaram,Kanyakumari,21:38,21:40
24,16733,Rameswaram - Okha Express,Rameswaram,Okha,22:24,22:25
25,14260,Varanasi - Rameswaram Express,Varanasi Junction,Rameswaram,22:59,23:00
