S.No,No 2011-12,Place of Dept.,Place of Arrl.,Arrl. to Karur,Dept. from Karur,Remarks
1,16787,Tirunelveli,Jamudavi,0:05,0:10,"Express,Tue,Sat"
2,16733,Rameswaram,Okha,2:40,2:45,Experss Sat
3,16609/11,Nagercoil / Thoothukudi,Coimbatore,3:42,3:45,Express Daily
4,12690,Nagercoil,Chennai,4:12,4:15,"Express,Mon"
5,16859,Egmore,Mangalore,6:17,6:20,Express Daily
6,56841,Trichy,Erode,9:00,9:15,Passenger Daily
7,76833,Trichy,Karur,11:35,NA,Passenger Expt. Sunday
8,56826,Tirunelveli,Erode,12:30,12:40,Passenger Daily
9,16340,Nagercoil,Mumbai,14:20,14:25,"Express Mon,Tue,Wed,Fri"
10,56847,Trichy,Palghat Town,14:30,14:35,Passenger Daily
11,56319,Nagercoil,Coimbatore,16:05,16:10,Passenger Daily
12,56843,Trichy,Erode,17:55,18:00,Passenger Daily
13,12083,Mailaduthurai,Coimbatore,18:18,18:20,Jan Shatabti Express Except Tue
14,76835,Trichy,Karur,20:30,NA,Passenger Except Sunday
15,16187,Karaikkal,Ernakulam,21:36,21:40,Express Daily
16,16231,Mayiladuthurai,Mysore,21:57,22:00,"Express,Daily"
17,16235,Tuticorn,Mysore,22:30,22:35,"Express,Daily"
18,16857,Puduchery,Mangalore,22:17,22:20,"Express,Except Sat"
19,16232,Mysore,Mayiladuthurai,2:05,2:10,Express Daily
20,16188,Ernakulam Jn.,Karaikkal,5:52,5:55,Express Daily
21,76836,Karur,Trichy,NA,6:55,Passenger Except Sun
22,56844,Erode,Trichy,9:00,9:05,Passenger Daily
23,12084,Ciombatore,Mailaduthurai,9:23,9:25,Jan Shatabti Express Except Tue
24,56848,Palghat,Trichy,11:38,11:40,Passenger Daily
25,76834,Karur,Trichy,NA,15:30,Passenger Expt. Sunday
26,56842,Erode,Trichy,17:55,18:00,Passenger Daily
27,16860,Mangalore,Chennai Egmore,19:55,20:00,Express Daily
28,16858,Mangalore,Puduchery,3:20,3:25,Express Monday
29,12689,Chennai,Nagrcoil,1:30,1:35,Express Saturday
30,16236,Mysore,Tuticorin,4:35,4:40,Express Daily
31,16788,Jamutawi,Tirunelveli,14:47,9:50,"Express Sun,Thurs"
32,56320,Coimbatore,Nagercoil,11:20,11:25,Passenger Daily
33,16734,Okha,Rameswaram,13:00,13:35,Express Thursday
34,56825,Erode,Tirunelveli,14:15,14:20,Passenger Daily
35,16339,Mumbai GST,Nagercoil,18:20,18:25,"Express Mon,Thu,,Fri,Sat"
36,16610 /12,Coimbatore,Nagercoil / Thoothukudi,23:35,23:40,Express Daily
37,17315,Vasco-da-Gama,Velankani,6:18,6:20,Express ( Tue )
38,19567,Thoothukudi,Duvaraga,4:40,4:45,Vivek Express ( Mon )
39,16618,Coimbatore,Rameswaram,22:30,22:35,"Express,Tue,"
40,16001,Chennai Central,Palani,3:50,3:55,Express Daily
41,16858,Mangalore,Pandichery,3:20,3:25,"Express,Monday"
42,16606,Coimbatore,Mannarkudi,2:47,2:50,Express Daily
43,16617,Rameswaram,Coimbatore,2:40,2:45,"Express,Thursday"
44,16002,Palani,Chennai Central,21:05,21:10,Express Daily
45,16857,Pandichery,Mangalore,22:20,22:25,"Express,Saturday"
46,16615,Manarkudi,Coimbatore,0:22,0:25,Express Daily
