S.No,Type of Train,Train Number,Train Name ,Day,Arrival,Departure
1,Express Train Passing through Coimbatore Junction,12671,Chennai - Mettupalayam Nilgiri Super Fast Express,Daily,05.00,05.15
2,Express Train Passing through Coimbatore Junction,12672,Mettupalayam - Chennai - Nilgiri Super Fast Ernakulam Express,Daily,20.30,20.55
3,Express Train Passing through Coimbatore Junction,16865,Tiruchirappalli - Ernakulam Express,Daily,00.55,01.00
4,Express Train Passing through Coimbatore Junction,16866,Ernakulam- Tiruchirappalli,Daily,03.00,03.05
5,Express Train Passing through Coimbatore Junction,16381,Mumbai CSTM - Kanniyakumari Express,Daily,11.45,11.50
6,Express Train Passing through Coimbatore Junction,16382,Kanniyakumari Mumbai CSTM,Daily,18.00,18.05
7,Express Train Passing through Coimbatore Junction,13351,Dhanbad - Allepey Tata Express,Daily,12.05,12.10
8,Express Train Passing through Coimbatore Junction,13352,Allepey - Dhanbad Tata Express,Daily,11.55,12.00
9,Express Train Passing through Coimbatore Junction,16525,Kanniyakumari - Bengaluru - Express,Daily,22.50,22.55
10,Express Train Passing through Coimbatore Junction,16526,Bengaluru - Kanniyakumari - Express ,Daily,05.30,05.35
11,Express Train Passing through Coimbatore Junction,17229,Kochuvelli - Hyderabad - Sabari Express,Daily,16.30,16.35
12,Express Train Passing through Coimbatore Junction,17230,Hyderabad - Kochuvelli - Sabari Express,Daily,08.25,08.30
13,Express Train Passing through Coimbatore Junction,16107,Chennai Egmore - Mangalore Express,Daily,10.55,11.00
14,Express Train Passing through Coimbatore Junction,16108,Mangalore - Chennai Egmore Express,Daily,15.45,15.50
15,Express Train Passing through Coimbatore Junction,12625,Trivandrum - New Delhi - Kerala Express,Daily,02.00,20.05
16,Express Train Passing through Coimbatore Junction,12626,New Delhi - Trivandrum - Kerala Express,Daily,05.20,05.25
17,Express Train Passing through Coimbatore Junction,12695,Chennai - Trivandrum - Superfast Express,Daily,23.00,23.05
18,Express Train Passing through Coimbatore Junction,12696,Trivandrum - Chennai - Superfast Express,Daily,02.05,02.10
19,Express Train Passing through Coimbatore Junction,16359,Eranakulam - Patna Express,Sat,03.15,03.20
20,Express Train Passing through Coimbatore Junction,16360,Patna - Eranakulam Express,Tue,18.25,18.30
